PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,Month
125123,10/26/2020,Asia,ARE,United Arab Emirates,October
7872,10/26/2020,Asia,LKA,Sri Lanka,October
361801,10/26/2020,Asia,TUR,Turkey,October
359784,10/25/2020,Asia,TUR,Turkey,October
5359,10/25/2020,Asia,SYR,Syria,October
3736,10/25/2020,Asia,THA,Thailand,October
550,10/25/2020,Asia,TWN,Taiwan,October
96534,10/25/2020,Asia,JPN,Japan,October
25836,10/25/2020,Asia,KOR,South Korea,October
562705,10/25/2020,Asia,IRN,Iran,October
327895,10/25/2020,Asia,PAK,Pakistan,October
367819,10/25/2020,Asia,PHL,Philippines,October
55750,10/25/2020,Asia,KGZ,Kyrgyzstan,October
57965,10/25/2020,Asia,SGP,Singapore,October
50750,10/25/2020,Asia,JOR,Jordan,October
338,10/25/2020,Asia,MNG,Mongolia,October
40768,10/25/2020,Asia,AFG,Afghanistan,October
29,10/25/2020,Asia,TLS,Timor Leste,October
123764,10/25/2020,Asia,ARE,United Arab Emirates,October
155233,10/25/2020,Asia,NPL,Nepal,October
61593,10/25/2020,Asia,PSE,Palestine,October
11421,10/25/2020,Asia,MDV,Maldives,October
7521,10/25/2020,Asia,LKA,Sri Lanka,October
449153,10/25/2020,Asia,IRQ,Iraq,October
43788,10/25/2020,Asia,MMR,Myanmar,October
385980,10/25/2020,Asia,IDN,Indonesia,October
147297,10/25/2020,Asia,KAZ,Kazakhstan,October
91125,10/25/2020,Asia,CHN,China,October
309413,10/25/2020,Asia,ISR,Israel,October
111837,10/25/2020,Asia,OMN,Oman,October
10736,10/25/2020,Asia,TJK,Tajikistan,October
120927,10/25/2020,Asia,KWT,Kuwait,October
69906,10/25/2020,Asia,LBN,Lebanon,October
79975,10/25/2020,Asia,BHR,Bahrain,October
65200,10/25/2020,Asia,UZB,Uzbekistan,October
397507,10/25/2020,Asia,BGD,Bangladesh,October
148,10/25/2020,Asia,BRN,Brunei Darussalam,October
340,10/25/2020,Asia,BTN,Bhutan,October
25742,10/25/2020,Asia,MYS,Malaysia,October
130965,10/25/2020,Asia,QAT,Qatar,October
287,10/25/2020,Asia,KHM,Cambodia,October
24,10/25/2020,Asia,LAO,Laos,October
344552,10/25/2020,Asia,SAU,Saudi Arabia,October
7864811,10/25/2020,Asia,IND,India,October
1160,10/25/2020,Asia,VNM,Vietnam,October
2064,10/25/2020,Asia,YEM,Yemen,October
337,10/24/2020,Asia,MNG,Mongolia,October
550,10/24/2020,Asia,TWN,Taiwan,October
5319,10/24/2020,Asia,SYR,Syria,October
2061,10/24/2020,Asia,YEM,Yemen,October
42365,10/24/2020,Asia,MMR,Myanmar,October
146982,10/24/2020,Asia,KAZ,Kazakhstan,October
556891,10/24/2020,Asia,IRN,Iran,October
24514,10/24/2020,Asia,MYS,Malaysia,October
344157,10/24/2020,Asia,SAU,Saudi Arabia,October
3731,10/24/2020,Asia,THA,Thailand,October
336,10/24/2020,Asia,BTN,Bhutan,October
48930,10/24/2020,Asia,JOR,Jordan,October
68479,10/24/2020,Asia,LBN,Lebanon,October
29,10/24/2020,Asia,TLS,Timor Leste,October
64811,10/24/2020,Asia,UZB,Uzbekistan,October
357693,10/24/2020,Asia,TUR,Turkey,October
1148,10/24/2020,Asia,VNM,Vietnam,October
148,10/24/2020,Asia,BRN,Brunei Darussalam,October
153008,10/24/2020,Asia,NPL,Nepal,October
396413,10/24/2020,Asia,BGD,Bangladesh,October
40687,10/24/2020,Asia,AFG,Afghanistan,October
61183,10/24/2020,Asia,PSE,Palestine,October
7814682,10/24/2020,Asia,IND,India,October
365799,10/24/2020,Asia,PHL,Philippines,October
122273,10/24/2020,Asia,ARE,United Arab Emirates,October
11391,10/24/2020,Asia,MDV,Maldives,October
130711,10/24/2020,Asia,QAT,Qatar,October
445949,10/24/2020,Asia,IRQ,Iraq,October
55144,10/24/2020,Asia,KGZ,Kyrgyzstan,October
25775,10/24/2020,Asia,KOR,South Korea,October
7153,10/24/2020,Asia,LKA,Sri Lanka,October
120232,10/24/2020,Asia,KWT,Kuwait,October
111837,10/24/2020,Asia,OMN,Oman,October
308840,10/24/2020,Asia,ISR,Israel,October
287,10/24/2020,Asia,KHM,Cambodia,October
91106,10/24/2020,Asia,CHN,China,October
381910,10/24/2020,Asia,IDN,Indonesia,October
327063,10/24/2020,Asia,PAK,Pakistan,October
79574,10/24/2020,Asia,BHR,Bahrain,October
10695,10/24/2020,Asia,TJK,Tajikistan,October
95835,10/24/2020,Asia,JPN,Japan,October
24,10/24/2020,Asia,LAO,Laos,October
57951,10/24/2020,Asia,SGP,Singapore,October
308572,10/23/2020,Asia,ISR,Israel,October
64633,10/23/2020,Asia,UZB,Uzbekistan,October
394827,10/23/2020,Asia,BGD,Bangladesh,October
29,10/23/2020,Asia,TLS,Timor Leste,October
146653,10/23/2020,Asia,KAZ,Kazakhstan,October
24,10/23/2020,Asia,LAO,Laos,October
148,10/23/2020,Asia,BRN,Brunei Darussalam,October
326216,10/23/2020,Asia,PAK,Pakistan,October
286,10/23/2020,Asia,KHM,Cambodia,October
442164,10/23/2020,Asia,IRQ,Iraq,October
60670,10/23/2020,Asia,PSE,Palestine,October
25698,10/23/2020,Asia,KOR,South Korea,October
91073,10/23/2020,Asia,CHN,China,October
95138,10/23/2020,Asia,JPN,Japan,October
363888,10/23/2020,Asia,PHL,Philippines,October
79211,10/23/2020,Asia,BHR,Bahrain,October
23804,10/23/2020,Asia,MYS,Malaysia,October
54588,10/23/2020,Asia,KGZ,Kyrgyzstan,October
548,10/23/2020,Asia,TWN,Taiwan,October
111837,10/23/2020,Asia,OMN,Oman,October
10653,10/23/2020,Asia,TJK,Tajikistan,October
328,10/23/2020,Asia,MNG,Mongolia,October
40626,10/23/2020,Asia,AFG,Afghanistan,October
3727,10/23/2020,Asia,THA,Thailand,October
377541,10/23/2020,Asia,IDN,Indonesia,October
2061,10/23/2020,Asia,YEM,Yemen,October
11358,10/23/2020,Asia,MDV,Maldives,October
67027,10/23/2020,Asia,LBN,Lebanon,October
343774,10/23/2020,Asia,SAU,Saudi Arabia,October
336,10/23/2020,Asia,BTN,Bhutan,October
7761312,10/23/2020,Asia,IND,India,October
46441,10/23/2020,Asia,JOR,Jordan,October
5267,10/23/2020,Asia,SYR,Syria,October
6287,10/23/2020,Asia,LKA,Sri Lanka,October
1148,10/23/2020,Asia,VNM,Vietnam,October
120710,10/23/2020,Asia,ARE,United Arab Emirates,October
119420,10/23/2020,Asia,KWT,Kuwait,October
41008,10/23/2020,Asia,MMR,Myanmar,October
148509,10/23/2020,Asia,NPL,Nepal,October
130462,10/23/2020,Asia,QAT,Qatar,October
57941,10/23/2020,Asia,SGP,Singapore,October
550757,10/23/2020,Asia,IRN,Iran,October
355528,10/23/2020,Asia,TUR,Turkey,October
65577,10/22/2020,Asia,LBN,Lebanon,October
343373,10/22/2020,Asia,SAU,Saudi Arabia,October
78907,10/22/2020,Asia,BHR,Bahrain,October
3719,10/22/2020,Asia,THA,Thailand,October
2061,10/22/2020,Asia,YEM,Yemen,October
147,10/22/2020,Asia,BRN,Brunei Darussalam,October
373109,10/22/2020,Asia,IDN,Indonesia,October
111484,10/22/2020,Asia,OMN,Oman,October
438265,10/22/2020,Asia,IRQ,Iraq,October
91044,10/22/2020,Asia,CHN,China,October
43620,10/22/2020,Asia,JOR,Jordan,October
328,10/22/2020,Asia,MNG,Mongolia,October
144872,10/22/2020,Asia,NPL,Nepal,October
307335,10/22/2020,Asia,ISR,Israel,October
118531,10/22/2020,Asia,KWT,Kuwait,October
64335,10/22/2020,Asia,UZB,Uzbekistan,October
7706946,10/22/2020,Asia,IND,India,October
57933,10/22/2020,Asia,SGP,Singapore,October
29,10/22/2020,Asia,TLS,Timor Leste,October
